agency_id,rooms_page,pax_page
40396,44,14
63333,72,3
55686,14,3
49051,16,10
32402,31,6
29663,1,1
4913,23,19
5920,141,15
50307,7,0
44315,180,14
49849,176,65
5949,125,105
2984,1,0
33346,10,1
32440,26,7
33205,59,13
9510,267,31
274,200,105
41122,25,1
25728,34,3
24119,84,4
5156,139,31
41525,10,0
23504,97,33
51617,8,2
65892,6,1
34812,15,8
12299,82,15
26605,2,0
25988,37,13
40814,50,11
52306,44,11
4696,53,2
11600,3,1
13413,216,25
42978,69,28
1991,36,3
45030,353,61
1103,87,23
60021,17,2
34335,39,24
46725,15,9
1427,147,21
66462,309,10
16085,72,6
21718,3,0
15184,78,40
26606,49,1
53470,39,3
7562,4,1
1477,59,5
53828,83,5
54532,306,34
409,96,35
60674,18,6
45384,11,5
39179,37,19
39712,25,12
19381,16,1
31708,61,21
40566,202,40
25460,87,56
37894,205,10
67133,2,1
57459,3,0
40470,102,3
25102,196,14
65939,2,0
30222,21,14
60915,8,3
32415,25,15
37639,142,94
25586,9,0
32274,33,6
49345,26,6
26465,30,3
39972,454,98
6959,24,23
1949,120,43
5266,156,32
361,40,4
49043,52,13
11854,10,2
17721,77,16
33749,42,9
64691,23,4
73,249,89
56371,50,19
57111,33,9
26938,45,36
1825,387,274
3612,45,7
383,77,8
50078,46,27
53077,1,0
5104,67,21
20209,60,6
47830,15,4
3910,6,2
40077,49,7
35773,9,5
3168,174,22
50055,94,21
25131,73,5
4293,95,21
54115,157,15
5709,70,27
54243,18,5
24402,79,7
49293,12,4
54134,89,6
42094,5,0
42864,98,18
46856,10,0
9355,149,26
44761,15,3
31329,97,48
41358,10,0
832,122,22
4733,37,7
65081,5,1
32813,83,16
1848,130,27
32184,6,0
33055,43,37
48246,15,2
1702,24,6
64250,52,14
56821,76,29
42621,49,6
59980,46,15
45013,74,17
1678,47,14
12915,48,10
30226,45,10
65680,37,4
27788,2,0
1591,18,8
46067,2,0
39960,45,6
31779,11,8
45622,55,10
66680,4,1
41261,16,4
64279,49,8
64051,44,32
33487,269,58
40219,364,84
13079,75,16
45164,55,20
12886,3,3
41538,45,17
