agency_id,agency_name,region,created_on,first_overall_sale,first_q_sale,last_q_sale,freq,mon,rec,days_active,rel_freq,new_agency,rec_log,rel_freq_log,mon_log,rec_score,freq_score,mon_score,RFM
8736,H.K. TRAVELBOX LTD.,APAC,2016-08-24,2016-10-29,2022-10-01,2022-12-30,24,10077.75,2,91,0.26373626373626374,0,0.6931471805599453,-1.3328056761689044,9.21808530242363,3,2,3,8
18585,DAYA MITRA WISATA,APAC,2018-05-24,2018-07-11,2022-10-01,2022-12-29,81,7495.94,3,90,0.9,0,1.0986122886681098,-0.10536051565782628,8.92211681961728,3,3,2,8
10342,OWAY TRAVELS & TOURS CO.LTD,APAC,2017-02-01,2017-02-09,2022-10-01,2022-12-28,68,35911.95,4,89,0.7640449438202247,0,1.3862943611198906,-0.2691286645560332,10.488825388168529,3,3,3,9
6017,GRANADA GATE TOURISM,Middle East,2015-11-26,2015-12-27,2022-10-01,2022-10-21,2,673.12,72,21,0.09523809523809523,0,4.276666119016055,-2.3513752571634776,6.511923619842211,1,1,1,3
32214,"REUNION GRAND JOURNEY CO.,LTD.",APAC,2019-08-23,2019-08-23,2022-10-01,2022-11-10,20,8113.84,52,41,0.4878048780487805,0,3.9512437185814275,-0.7178397931503169,9.00132652456778,1,2,2,5
7501,GREEN VALLEY TRAVELS,Middle East,2016-05-15,2016-05-19,2022-10-01,2022-12-30,226,134735.97,2,91,2.4835164835164836,0,0.6931471805599453,0.9096754927554359,11.811072364612107,3,3,3,9
45000,TRANS OCEANS TOURS,Middle East,2021-06-15,2021-10-24,2022-10-01,2022-10-01,2,388.34,92,1,2.0,0,4.5217885770490405,0.6931471805599453,5.961881244566308,1,3,1,5
28276,ELITE INTERNATIONAL TRAVEL CENTRE LLC,Middle East,2019-05-04,2019-05-27,2022-10-01,2022-12-26,112,84867.14,6,87,1.2873563218390804,0,1.791759469228055,0.2525907526405108,11.348842253798056,3,3,3,9
14281,GO BEYOND ADVENTURES TRAVELS,Africa,2017-09-22,2019-07-26,2022-10-01,2022-10-26,4,1149.13,67,26,0.15384615384615385,0,4.204692619390966,-1.8718021769015913,7.046760413311187,1,1,1,3
2106,GLOBALLINE TRAVEL AND TOURISM,Middle East,2013-09-18,2013-09-24,2022-10-01,2022-12-25,23,21201.47,7,86,0.26744186046511625,0,1.9459101490553132,-1.318853080324358,9.961825797878864,3,2,3,8
18619,TRAVELTRACK LIMITED,Africa,2018-05-25,2019-02-14,2022-10-01,2022-10-01,2,4600.0,92,1,2.0,0,4.5217885770490405,0.6931471805599453,8.433811582477187,1,3,2,6
11178,AL WAHDA TOURISM @ HOLIDAYS,Middle East,2017-03-15,2017-04-23,2022-10-01,2022-12-20,16,4091.62,12,81,0.19753086419753085,0,2.4849066497880004,-1.6218604324326575,8.316696258634256,2,2,2,6
55402,ALENA ROOS - INTELETRAVEL,North America,2022-03-03,2022-10-01,2022-10-01,2022-10-01,1,114.18,92,1,1.0,1,4.5217885770490405,0.0,4.737776150536114,1,3,1,5
11737,MOSCONI TOURS INC,APAC,2017-04-24,2019-08-10,2022-10-01,2022-12-30,121,36166.77,2,91,1.3296703296703296,0,0.6931471805599453,0.284931039079891,10.495896020433317,3,3,3,9
847,UNITED TRAVELS (RIYADH),Middle East,2012-02-23,2012-02-23,2022-10-01,2022-12-26,14,59148.25,6,87,0.16091954022988506,0,1.791759469228055,-1.826850789039325,10.987802283170048,3,1,3,7
344,ALQATTAN TRAVEL AGENCY,Middle East,2011-08-27,2014-10-27,2022-10-01,2022-12-25,55,58357.59,7,86,0.6395348837209303,0,1.9459101490553132,-0.4470141110210368,10.974344706376229,3,2,3,8
58560,TRAVEL BY ABBEY,APAC,2022-05-23,2022-05-25,2022-10-01,2022-12-28,17,33127.73,4,89,0.19101123595505617,0,1.3862943611198906,-1.6554230256759237,10.408125974986925,3,2,3,8
35009,BANIAS TRAVEL - HUSSEIN SAMI,Southern Europe,2019-11-14,2019-11-16,2022-10-01,2022-12-21,34,22433.43,11,82,0.4146341463414634,0,2.3978952727983707,-0.8803587226480918,10.018307536019318,2,2,3,7
40291,VIA NAZARETH TOURS ,Southern Europe,2020-11-02,2020-11-03,2022-10-01,2022-12-22,97,53707.52,10,83,1.1686746987951808,0,2.302585092994046,0.15587037070678497,10.891308307936605,3,3,3,9
40857,THE GURU LINK ,Africa,2020-12-01,2020-12-06,2022-10-01,2022-12-15,16,5510.58,17,76,0.21052631578947367,0,2.833213344056216,-1.55814461804655,8.614425159765078,2,2,2,6
11516,OTDIX TRAVEL AND TOURS SDN BHD,APAC,2017-04-06,2017-04-20,2022-10-01,2022-10-01,4,1913.71,92,1,4.0,0,4.5217885770490405,1.3862943611198906,7.556799045381804,1,3,2,6
